Source,Target,Year,QuadClass,ECount,NSources,MaxSources,AvgSources,StdDevSources
RUS,PRK,2012,4,16,48,18,3.0,4.5166359162544865
RUS,KGZ,2017,4,18,35,18,1.9444444444444444,4.006938426723769
RUS,JPN,2012,1,479,639,18,1.3340292275574113,1.4697474547465368
RUS,EUR,2012,4,39,84,18,2.1538461538461537,3.6529617510529553
RUS,AFG,2016,2,57,121,18,2.1228070175438596,3.25175872984032
RUS,WST,2010,3,33,55,18,1.6666666666666667,2.965074479109533
RUS,AZE,2014,1,1296,1441,18,1.1118827160493827,0.8595486856430007
RUS,BGD,2013,1,86,138,18,1.6046511627906976,2.1490302588264254
RUS,GBR,2013,3,312,469,18,1.5032051282051282,1.659036247248452
RUS,GBR,2015,2,138,200,18,1.4492753623188406,1.8406301038222166
RUS,FIN,2014,1,261,450,17,1.7241379310344827,2.358403902116268
RUS,POL,2009,4,50,97,17,1.94,3.352793535217449
RUS,LVA,2014,3,31,58,17,1.8709677419354838,2.9296408822455926
RUS,SAU,2016,3,106,159,17,1.5,1.9036306164299637
RUS,IDN,2015,2,6,25,17,4.166666666666667,6.3377177806105145
RUS,BEL,2009,1,156,310,17,1.9871794871794872,2.8215465434064284
RUS,SYR,2014,4,100,158,17,1.58,2.099446776576336
RUS,KAZ,2016,1,577,755,17,1.3084922010398614,1.1142140262114955
RUS,FRA,2010,4,12,29,17,2.4166666666666665,4.601547829181222
RUS,IRL,2012,1,67,169,17,2.5223880597014925,2.961153588451758
RUS,UZB,2015,1,250,337,17,1.348,1.7820208734956766
RUS,UKR,2009,4,120,177,17,1.475,1.8560032055898135
RUS,GBR,2007,4,401,677,17,1.688279301745636,1.8083382653130773
RUS,CZE,2011,1,186,364,17,1.956989247311828,2.7896099833745964
RUS,KEN,2017,1,33,78,16,2.3636363636363638,3.6981260610796336
RUS,CHE,2013,4,29,87,16,3.0,4.1144345211184765
RUS,PRK,2009,1,367,561,16,1.5286103542234333,1.8163266774254763
RUS,AFG,2015,1,397,554,16,1.3954659949622166,1.735627734656955
RUS,POL,2011,4,13,31,16,2.3846153846153846,4.113766756037212
RUS,GBR,2007,3,420,555,16,1.3214285714285714,1.0404780694585576
