Source,Target,Year,QuadClass,ECount,NSources,MaxSources,AvgSources,StdDevSources
USA,CHN,2016,4,911,1994,112,2.188803512623491,7.394200712128421
USA,PRK,2016,4,1080,2728,112,2.525925925925926,7.395065989931039
USA,ISR,2010,1,14399,33048,112,2.295159386068477,5.533162675503319
USA,DNK,2017,3,22,152,112,6.909090909090909,23.78256482405524
USA,CAN,2017,4,468,1497,112,3.198717948717949,11.250554992807546
USA,THA,2015,4,45,237,111,5.266666666666667,17.769227741954758
USA,WST,2011,2,146,382,111,2.6164383561643834,9.589692939582795
USA,LBY,2012,1,3720,8385,111,2.254032258064516,5.329552010686628
USA,SOM,2015,1,770,2700,111,3.5064935064935066,10.781580614008718
USA,ISR,2015,2,1700,3327,111,1.9570588235294117,5.603426666126634
USA,MDV,2015,1,280,713,111,2.5464285714285713,7.585922736115932
USA,AUS,2010,1,3589,8337,111,2.322931178601282,5.299258555550327
USA,JOR,2013,1,5565,14898,111,2.677088948787062,6.034449521556362
USA,AFR,2016,4,434,947,111,2.1820276497695854,7.31580904138084
USA,SAU,2015,4,632,1354,111,2.142405063291139,6.962109761879374
USA,RUS,2013,3,3353,6875,111,2.0504026245153595,4.333242830002029
USA,IRQ,2011,2,1432,3718,111,2.596368715083799,6.408889545877958
USA,CHN,2014,3,2563,5642,110,2.201326570425283,5.617043439934625
USA,THA,2010,1,440,1203,110,2.734090909090909,9.748533986667484
USA,EUR,2011,1,3978,10903,110,2.740824534942182,6.729699730301977
USA,FRA,2016,3,1164,2143,110,1.8410652920962198,6.3188152806672
USA,CZE,2016,1,572,1261,110,2.2045454545454546,6.45597622671907
USA,EUR,2012,2,268,791,110,2.951492537313433,8.476972421472247
USA,ESP,2015,2,589,917,110,1.5568760611205432,5.445672414636983
USA,COL,2016,3,75,313,110,4.173333333333333,14.312509490928834
USA,SYR,2012,4,1016,2763,110,2.719488188976378,6.995075969323649
USA,AUS,2010,4,411,1407,109,3.423357664233577,11.218270786101613
USA,ISR,2014,1,18924,38710,109,2.045550623546819,4.020088641595031
USA,POL,2012,3,124,515,109,4.153225806451613,12.341380162134236
USA,NLD,2014,1,2452,6987,109,2.849510603588907,6.9802855045696885
USA,AFG,2009,2,6857,13781,109,2.009771036896602,3.37573937059869
USA,CAN,2016,3,1175,2734,109,2.326808510638298,7.797288303146209
USA,IRL,2013,1,2745,5329,109,1.9413479052823315,5.3089518510562215
USA,MKD,2016,2,54,329,109,6.092592592592593,20.68566956197246
USA,CHN,2012,3,2427,6204,109,2.5562422744128552,5.889161482909245
USA,RUS,2012,4,585,1328,109,2.27008547008547,8.299542661080386
USA,CAN,2017,3,1066,2941,109,2.75891181988743,7.791595347782025
USA,AFG,2011,2,2565,6666,108,2.598830409356725,6.889426333112716
USA,HRV,2017,1,205,2057,108,10.034146341463414,22.61232972877392
USA,IRQ,2014,3,3883,8123,108,2.091939222250837,4.557836515115526
USA,BRA,2016,3,176,644,108,3.659090909090909,12.711197640448578
USA,URY,2016,1,347,1960,108,5.648414985590778,16.509159012363327
USA,MEX,2012,1,3178,8407,108,2.645374449339207,6.585323792863017
USA,KOR,2015,1,2345,4882,108,2.0818763326226013,5.84002751642059
USA,AFR,2011,1,2613,7476,108,2.8610792192881744,6.746349808705801
USA,VNM,2015,3,253,631,107,2.494071146245059,8.962718440967615
USA,PSE,2015,1,2405,5521,107,2.2956340956340955,5.875185562191612
USA,RUS,2010,3,832,2096,107,2.519230769230769,8.365283562597396
USA,NLD,2015,1,760,2052,107,2.7,7.5998058362272065
USA,PAK,2010,1,7644,12874,107,1.684196755625327,3.5339820746131374
USA,MKD,2016,3,59,383,107,6.491525423728813,19.90786786186248
USA,AUS,2011,1,3863,10354,107,2.6803002847527826,6.925290655323575
USA,IRQ,2011,3,884,2101,106,2.3766968325791855,7.264580757627355
USA,ITA,2016,4,148,631,106,4.263513513513513,15.800353688664405
USA,GTM,2015,1,316,1317,106,4.167721518987341,12.190825428711268
USA,TUR,2017,4,624,2207,106,3.5368589743589745,10.027662561253207
USA,IRL,2011,1,2371,5143,106,2.1691269506537325,5.578937942149721
USA,KOR,2017,2,208,708,106,3.4038461538461537,10.571147708721064
USA,PAK,2017,1,2949,5089,106,1.7256697185486605,3.6586483666136016
USA,BHR,2011,1,1558,3597,106,2.308729139922978,5.620433708337095
USA,KEN,2010,2,156,394,105,2.5256410256410255,9.189368835041668
USA,SWE,2016,1,664,1702,105,2.5632530120481927,8.855071011269272
USA,ISR,2012,3,3680,7987,105,2.170380434782609,5.236255036070161
USA,PSE,2010,1,5524,10780,105,1.9514844315713251,4.4354055449234755
USA,PAK,2011,3,2728,5709,105,2.092741935483871,4.8348423838362375
USA,SSD,2017,1,225,575,104,2.5555555555555554,8.502508966779086
USA,CAN,2012,3,873,2072,104,2.3734249713631157,6.445098366817509
USA,PGS,2016,1,518,2362,104,4.55984555984556,10.756100764270968
USA,BHR,2011,3,370,1189,104,3.2135135135135133,8.795498422478222
USA,EGY,2011,3,1629,4041,104,2.4806629834254146,6.432155901065597
USA,ARG,2010,1,411,852,104,2.072992700729927,7.264314752733106
USA,VEN,2015,1,1627,4391,104,2.6988322065150583,6.690781774280257
USA,TUR,2017,3,973,2490,103,2.5590955806783144,6.906775763303645
USA,YEM,2012,3,398,1211,103,3.042713567839196,9.229002837450507
USA,ARM,2017,4,35,138,103,3.942857142857143,17.23700338557389
USA,CUB,2014,2,1234,3381,103,2.739870340356564,6.765178385541885
USA,THA,2015,2,77,365,103,4.740259740259741,14.937063226296665
USA,MMR,2011,1,2412,5515,103,2.2864842454394694,6.205423010168704
USA,SEA,2010,1,1111,3018,103,2.7164716471647163,8.057098519226367
USA,AFG,2014,2,2376,4682,103,1.9705387205387206,4.419475449247354
USA,IDN,2015,1,1265,4236,103,3.348616600790514,9.952230050291895
USA,KAZ,2016,1,638,1080,102,1.6927899686520376,4.516459838446599
USA,FRA,2017,3,1173,2543,102,2.1679454390451833,6.661226682203238
USA,AFG,2016,3,956,2275,102,2.3797071129707112,7.342707770369075
USA,UKR,2017,1,2293,6018,102,2.6245093763628433,7.732484642671363
