Source,Target,Year,QuadClass,ECount,NSources,MaxSources,AvgSources,StdDevSources
ISR,JOR,2013,2,27,69,33,2.5555555555555554,6.178955185101053
ISR,USA,2009,1,8260,12934,33,1.5658595641646489,1.846552384464571
ISR,THA,2012,3,100,348,33,3.48,6.197881684393255
ISR,CAN,2017,1,140,322,33,2.3,5.125335574204038
ISR,AFR,2011,1,76,176,33,2.3157894736842106,5.359628162017187
ISR,AUS,2010,1,82,150,31,1.829268292682927,4.650248574396169
ISR,SYR,2016,4,118,242,31,2.0508474576271185,4.080069250348951
ISR,DEU,2010,1,604,883,31,1.4619205298013245,1.9231177061610916
ISR,AUS,2010,3,32,98,31,3.0625,7.343803620257232
ISR,EUR,2009,3,72,116,31,1.6111111111111112,3.5466927882126065
ISR,USA,2016,4,492,811,31,1.6483739837398375,2.917106194898578
ISR,GBR,2010,3,153,272,31,1.7777777777777777,3.238790836388071
ISR,GBR,2010,1,736,1296,31,1.7608695652173914,3.1960675334231796
ISR,DEU,2010,3,55,122,31,2.2181818181818183,5.659115586873026
ISR,IND,2012,4,325,638,30,1.9630769230769232,3.054826641884252
ISR,AFR,2013,1,112,215,30,1.9196428571428572,3.9481741540336275
ISR,QAT,2015,1,98,187,30,1.9081632653061225,3.277812744108603
ISR,AFR,2010,3,14,46,30,3.2857142857142856,7.700435266704297
ISR,IRN,2012,2,157,355,30,2.261146496815287,4.362054468933138
ISR,DNK,2012,1,81,277,30,3.419753086419753,4.842169445431624
ISR,EUR,2009,1,635,1062,29,1.6724409448818898,2.547302561836448
ISR,SAU,2012,3,6,43,29,7.166666666666667,11.285684147036308
ISR,GRC,2010,1,372,905,29,2.432795698924731,4.344752354914376
ISR,PAK,2015,1,20,48,29,2.4,6.260990336999411
ISR,RUS,2010,1,650,986,29,1.5169230769230768,2.260504956799071
ISR,USA,2010,2,172,311,29,1.808139534883721,3.862148452671731
ISR,IRN,2009,3,446,703,29,1.5762331838565022,2.6312333467935494
ISR,NIC,2015,1,40,206,29,5.15,6.992853494818835
ISR,VEN,2016,1,23,78,28,3.391304347826087,7.767877506025478
ISR,IND,2016,1,457,744,28,1.6280087527352298,2.387265873504753
ISR,MYS,2016,1,11,66,28,6.0,10.639548862616309
ISR,TUR,2010,1,1620,2182,28,1.3469135802469137,1.2137351086969224
ISR,LBN,2012,1,149,338,28,2.2684563758389262,4.331891279866575
