ECount,Target,StdDevSources,NSources,Source,Year,AvgSources,QuadClass
39,PAN,0.7896086254,57,BRA,2010,1.4615384615,1
665,CAN,1.785649786,971,BRA,2012,1.4601503759,1
61,FRA,1.6183713057,89,BRA,2007,1.4590163934,2
325,PRY,1.2381403204,474,BRA,2013,1.4584615385,1
360,HND,1.2791176886,525,BRA,2010,1.4583333333,1
282,GBR,1.204956197,411,BRA,2013,1.4574468085,4
35,UGA,0.505432671,51,BRA,2004,1.4571428571,1
81,DOM,1.332754504,118,BRA,2013,1.4567901235,1
2431,IRN,1.7178340476,3537,BRA,2009,1.4549568079,1
55,ARG,1.6646452388,80,BRA,2010,1.4545454545,4
22,VAT,1.503243247,32,BRA,2013,1.4545454545,2
11,GUY,1.2135597524,16,BRA,2010,1.4545454545,4
11,SEA,0.8201995323,16,BRA,2013,1.4545454545,2
660,PER,2.0433972886,960,BRA,2011,1.4545454545,1
11,SLV,0.5222329679,16,BRA,2013,1.4545454545,3
22,GAB,0.5096471914,32,BRA,2006,1.4545454545,1
86,ISR,1.2334263777,125,BRA,2010,1.4534883721,2
779,PER,1.2506783769,1131,BRA,2014,1.4518613607,1
31,NGA,1.0275767507,45,BRA,2011,1.4516129032,4
771,JPN,2.5130635493,1119,BRA,2014,1.4513618677,1
380,IRL,3.2299921988,551,BRA,2013,1.45,1
20,COM,0.9986833437,29,BRA,2009,1.45,4
89,CHE,1.3735424999,129,BRA,2009,1.4494382022,3
29,TUN,0.736119502,42,BRA,2009,1.4482758621,4
87,PRT,1.1984352268,126,BRA,2012,1.4482758621,2
56,MEX,1.0603540208,81,BRA,2010,1.4464285714,4
56,ITA,1.6171764716,81,BRA,2012,1.4464285714,2
18,GIN,1.2935233335,26,BRA,2012,1.4444444444,1
9,TZA,0.5270462767,13,BRA,2003,1.4444444444,1
9,CHE,0.8819171037,13,BRA,2011,1.4444444444,4
9,TMP,0.5270462767,13,BRA,2000,1.4444444444,2
9,AUT,0.8819171037,13,BRA,2007,1.4444444444,1
9,EUR,0.7264831573,13,BRA,2004,1.4444444444,4
27,CRI,0.5063696835,39,BRA,2013,1.4444444444,2
9,PAN,0.5270462767,13,BRA,2008,1.4444444444,3
9,BEL,0.5270462767,13,BRA,2013,1.4444444444,2
72,HTI,1.4524276801,104,BRA,2008,1.4444444444,1
167,FRA,1.1647678833,241,BRA,2009,1.4431137725,3
753,CUB,1.2850082021,1086,BRA,2014,1.4422310757,1
34,SYR,1.2598984199,49,BRA,2013,1.4411764706,3
59,AUS,0.6504954727,85,BRA,2013,1.4406779661,3
59,PER,0.8360660434,85,BRA,2008,1.4406779661,3
59,MEX,0.7490496609,85,BRA,2011,1.4406779661,4
109,GHA,0.6151060231,157,BRA,2012,1.4403669725,1
1819,CHN,2.0142886417,2620,BRA,2013,1.4403518417,1
715,CHN,0.9845469152,1029,BRA,2014,1.4391608392,2
691,PER,1.0523514283,994,BRA,2013,1.4384949349,1
559,EUR,1.4265912648,804,BRA,2009,1.4382826476,1
89,LBN,2.1792151224,128,BRA,2014,1.4382022472,1
32,TUR,0.8007053342,46,BRA,2012,1.4375,2
32,SYR,1.2164862143,46,BRA,2012,1.4375,4
48,PRY,1.9340867326,69,BRA,2010,1.4375,2
149,SYR,2.3142395507,214,BRA,2014,1.4362416107,1
46,PAN,1.7845282466,66,BRA,2013,1.4347826087,2
23,CYP,0.5068698019,33,BRA,2006,1.4347826087,1
253,GBR,1.1411737084,363,BRA,2009,1.4347826087,2
129,GBR,1.4675924228,185,BRA,2011,1.4341085271,3
182,HTI,1.2974875663,261,BRA,2010,1.4340659341,2
136,SGP,1.4231014949,195,BRA,2014,1.4338235294,1
30,COG,0.5683207772,43,BRA,2006,1.4333333333,1
97,BOL,1.0196733188,139,BRA,2009,1.4329896907,4
67,ITA,1.221324177,96,BRA,2012,1.4328358209,4
305,ITA,0.9404508492,437,BRA,2011,1.4327868852,4
65,CUB,0.8472239737,93,BRA,2010,1.4307692308,2
86,TUR,0.9398460159,123,BRA,2013,1.4302325581,4
21,BOL,1.2071217242,30,BRA,2011,1.4285714286,3
28,ESP,0.9200874125,40,BRA,2007,1.4285714286,2
7,GUY,0.5345224838,10,BRA,1999,1.4285714286,1
7,CHL,0.5345224838,10,BRA,2001,1.4285714286,4
7,JPN,0.5345224838,10,BRA,1999,1.4285714286,3
42,PRY,1.062506405,60,BRA,2014,1.4285714286,2
14,SUR,0.755928946,20,BRA,2010,1.4285714286,4
3198,CHN,1.3117574163,4568,BRA,2009,1.4283927455,1
173,DOM,1.0182829278,247,BRA,2010,1.4277456647,1
47,IDN,0.8006703944,67,BRA,2014,1.4255319149,2
40,VEN,0.5006406153,57,BRA,2006,1.425,2
64,PRT,0.9562606987,91,BRA,2011,1.421875,2
19,CHE,1.6095475373,27,BRA,2014,1.4210526316,3
19,CHE,1.2612070706,27,BRA,2010,1.4210526316,2
107,CHL,0.9320031498,152,BRA,2009,1.4205607477,4
148,VAT,1.2009832339,210,BRA,2007,1.4189189189,1
129,JPN,1.2481090348,183,BRA,2011,1.4186046512,2
1670,ARG,1.2092177802,2369,BRA,2014,1.4185628743,1
1575,GBR,1.4189456468,2233,BRA,2009,1.4177777778,1
115,SWE,1.1392719181,163,BRA,2007,1.4173913043,1
36,MAR,0.7699721702,51,BRA,2011,1.4166666667,1
48,FRA,0.9638869302,68,BRA,2008,1.4166666667,3
24,CAN,0.829702234,34,BRA,2007,1.4166666667,3
12,TMP,0.6685579234,17,BRA,2008,1.4166666667,2
12,KEN,0.7929614611,17,BRA,2013,1.4166666667,3
12,SLV,1.1645001529,17,BRA,2013,1.4166666667,2
557,CAN,1.6145516579,789,BRA,2014,1.4165170557,1
41,PAK,0.7407971975,58,BRA,2008,1.4146341463,2
46,BEL,1.2923034896,65,BRA,2008,1.4130434783,1
46,BHS,0.4978213404,65,BRA,2014,1.4130434783,1
17,IDN,1.0036697371,24,BRA,2007,1.4117647059,3
68,NOR,0.8147024751,96,BRA,2007,1.4117647059,1
17,DEU,0.7122871199,24,BRA,1998,1.4117647059,4
231,GUY,1.2404955811,326,BRA,2009,1.4112554113,1
799,CUB,1.7368740428,1127,BRA,2010,1.4105131414,1
374,DEU,1.2474199549,527,BRA,2010,1.4090909091,1
22,CUB,1.5010818609,31,BRA,2012,1.4090909091,4
22,ECU,0.5032362797,31,BRA,1998,1.4090909091,3
49,AFR,1.4276782922,69,BRA,2010,1.4081632653,3
525,AUS,2.8920691514,739,BRA,2013,1.4076190476,1
7647,USA,1.8932501268,10763,BRA,2014,1.4074800575,1
27,MMR,0.5007117441,38,BRA,2013,1.4074074074,1
27,NLD,0.8883545402,38,BRA,2009,1.4074074074,3
81,MEX,1.1808659723,114,BRA,2014,1.4074074074,3
118,GBR,0.7761100474,166,BRA,2014,1.406779661,3
192,NLD,1.3070739873,270,BRA,2014,1.40625,1
69,BOL,1.5080064809,97,BRA,2008,1.4057971014,3
605,AFR,1.6785484919,850,BRA,2012,1.4049586777,1
42,DEU,1.307754057,59,BRA,2010,1.4047619048,2
210,ZAF,1.1123388827,295,BRA,2009,1.4047619048,1
99,FRA,1.5512943373,139,BRA,2012,1.404040404,4
639,CHN,1.2071086031,896,BRA,2013,1.4021909233,2
287,ARG,0.7953533336,402,BRA,2013,1.4006968641,2
5,PRY,0.5477225575,7,BRA,1994,1.4,3
10,HTI,0.9660917831,14,BRA,2008,1.4,3
5,RWA,0.5477225575,7,BRA,2014,1.4,2
5,ISR,0.5477225575,7,BRA,2007,1.4,3
