ECount,Target,StdDevSources,NSources,Source,Year,AvgSources,QuadClass
251,MEX,4.607836733495426,452,CHN,2014,1.800796812749004,2
5,DOM,0.44721359549995787,9,CHN,2008,1.8,2
5,LCA,1.7888543819998317,9,CHN,2010,1.8,1
5,MOZ,1.0954451150103321,9,CHN,2011,1.8,3
5,WST,0.8366600265340756,9,CHN,2006,1.8,3
10,TON,0.7888106377466156,18,CHN,2013,1.8,4
5,ROM,0.447213595499958,9,CHN,1997,1.8,1
5,COM,0.447213595499958,9,CHN,2012,1.8,1
25,DZA,1.9364916731037087,45,CHN,2010,1.8,3
5,BLR,1.0954451150103324,9,CHN,2006,1.8,4
5,PSE,0.8366600265340756,9,CHN,1999,1.8,2
5,TGO,1.0954451150103321,9,CHN,2011,1.8,4
5,CIV,1.0954451150103324,9,CHN,2006,1.8,2
15,ECU,1.65615734242165,27,CHN,2013,1.8,4
8712,GBR,3.095411402314144,15673,CHN,2011,1.7990128558310376,1
302,SEA,4.127003211548258,543,CHN,2011,1.7980132450331126,3
336,LBY,1.848143962246541,604,CHN,2014,1.7976190476190477,4
5084,IRN,2.7436931272687177,9130,CHN,2009,1.7958300550747444,1
