Actor1CountryCode,Actor2CountryCode,Year,ECount,AvgQuadClass
VCT,USA,2014,465,1.6064516129032258
VEN,USA,2014,5685,2.0369393139841687
VNM,USA,2014,10932,1.7512806439809734
YEM,USA,2014,3806,2.156594850236469
ZAF,USA,2014,2382,1.8190596137699413
ZWE,USA,2014,2408,2.0552325581395348
IRN,USA,2013,48740,1.6563602790315963
ISR,USA,2013,49848,1.4935002407318247
ITA,USA,2013,19645,1.7124968185288878
MAR,USA,2013,1623,1.4011090573012939
MCO,USA,2013,2573,1.9382044306257287
MDV,USA,2013,3126,2.17786308381318
MEX,USA,2013,29273,1.8510914494585453
PRK,USA,2013,20004,2.115876824635073
RUS,USA,2013,86407,1.8379760899001238
SGP,USA,2013,3049,1.468678255165628
USA,ARE,2013,3300,1.5375757575757576
USA,DEU,2013,28063,1.5604888999750561
USA,EGY,2013,30969,1.858794278149117
USA,ITA,2013,17871,1.6855240333501202
USA,MDV,2013,5727,2.2028985507246377
USA,MEX,2013,29886,1.8821187177942849
USA,NMR,2013,5120,1.3919921875
USA,NZL,2013,5186,1.5915927497107598
USA,SGP,2013,3046,1.5965200262639527
USA,AFR,2013,23362,1.5648488999229517
HKG,USA,2014,646,1.7476780185758514
USA,HKG,2014,749,1.8811748998664886
USA,MDA,2014,2134,1.289597000937207
BHR,USA,2014,1952,1.771516393442623
BRN,USA,2014,537,1.4450651769087524
CAF,USA,2014,608,1.712171052631579
CMR,USA,2014,476,1.4978991596638656
COG,USA,2014,452,1.4623893805309736
COK,USA,2014,57,2.192982456140351
DJI,USA,2014,601,1.3444259567387686
GNQ,USA,2014,97,1.4123711340206186
KGZ,USA,2014,454,1.449339207048458
MAR,USA,2014,1562,1.435979513444302
MDA,USA,2014,1711,1.1694915254237288
MDG,USA,2014,254,1.236220472440945
USA,SRB,2014,663,1.9215686274509804
NER,USA,2014,361,1.3767313019390581
PGS,USA,2014,285,1.2982456140350878
SAS,USA,2014,405,1.6222222222222222
SDN,USA,2014,3143,1.717467387846007
SYC,USA,2014,131,2.236641221374046
TTO,USA,2014,776,1.5399484536082475
UGA,USA,2014,2548,1.6185243328100472
USA,BMU,2014,849,1.5606595995288575
USA,BOL,2014,1758,1.8185437997724687
USA,COG,2014,628,1.6958598726114649
USA,ECU,2014,2070,1.714975845410628
USA,EST,2014,2279,1.50329091706889
USA,FJI,2014,414,1.4782608695652173
USA,ASA,2014,90,1.1777777777777778
USA,MEA,2014,369,1.3604336043360434
USA,KGZ,2014,497,1.619718309859155
USA,LIE,2014,79,1.8734177215189873
USA,MDG,2014,349,1.518624641833811
USA,NER,2014,370,2.0594594594594593
USA,NRU,2014,35,2.3142857142857145
USA,SYC,2014,125,1.584
USA,UZB,2014,661,1.9531013615733737
USA,WSM,2014,537,1.4357541899441342
USA,MHL,2014,380,1.6631578947368422
USA,CAF,2014,894,1.8243847874720358
USA,CIV,2014,220,1.7818181818181817
USA,CMR,2014,385,1.6415584415584417
USA,PNG,2014,213,1.943661971830986
WSM,USA,2014,462,1.326839826839827
GRC,USA,2012,10879,1.747587094402059
GRD,USA,2012,2314,1.7342264477095939
GTM,USA,2012,2411,1.8855246785566155
HND,USA,2012,1831,1.825232113599126
HTI,USA,2012,3305,1.4986384266263237
IDN,USA,2012,4976,1.6418810289389068
EUR,USA,2012,16373,1.5916447810419594
SEA,USA,2012,1469,1.2525527569775357
WST,USA,2012,5531,1.6949918640390527
IND,USA,2012,8399,1.7553280152399096
IRL,USA,2012,8952,1.6031054512957998
IRN,USA,2012,37381,1.9557796741660203
IRQ,USA,2012,17845,2.0434295320818157
ISR,USA,2012,41966,1.6270790640041939
ITA,USA,2012,15007,1.6761511294729126
JAM,USA,2012,3341,1.7297216402274769
JOR,USA,2012,6796,1.7104178928781637
JPN,USA,2012,28092,1.595365228534814
KAZ,USA,2012,872,1.3314220183486238
KHM,USA,2012,2142,1.4285714285714286
KOR,USA,2012,13012,1.6571626191208115
KWT,USA,2012,2028,1.6587771203155819
LBN,USA,2012,5492,1.9226147123088129
LBY,USA,2012,15058,2.3720945676716694
LCA,USA,2012,694,1.6959654178674353
LVA,USA,2012,490,1.5673469387755101
MCO,USA,2012,2952,1.975609756097561
MDV,USA,2012,3530,2.0844192634560907
MEX,USA,2012,30596,1.8920120277160413
MKD,USA,2012,393,1.6870229007633588
MLT,USA,2012,590,1.452542372881356
MMR,USA,2012,8586,1.3240158397391102
CAN,USA,2012,45146,1.6726841802153014
GBR,USA,2012,58838,1.7354770726401305
USA,CAN,2012,44676,1.7141194377294298
USA,CHE,2012,8684,1.8400506678949793
USA,DEU,2012,20642,1.6914543164422051
USA,ESP,2012,13074,1.6361480801590944
USA,GBR,2012,53518,1.7125826824619754
USA,GRC,2012,9381,1.7029101375119924
USA,IRN,2012,47668,2.0349290928925066
USA,JOR,2012,6184,1.7978654592496766
USA,JPN,2012,27187,1.6063191966748813
